2.2	DOC3	XXX	它	个性	1
2.2	DOC2258	XXX	雷堡	做工	1
2.2	DOC2258	XXX	XX	做工	-1
2.2	DOC2262	XXX	这个车	NULL	1
2.2	DOC2262	XXX	别的车	NULL	-1
2.2	DOC2275	XXX	车	内饰做工	1
2.2	DOC2275	XXX	第一批我看到的车	内饰做工	-1
2.2	DOC2336	XXX	依兰特	配置	1
2.2	DOC2336	XXX	它	配置	-1
2.2	DOC2341	XXX	NULL	外观	-1
2.2	DOC2341	XXX	思域	外观	1
2.2	DOC2341	XXX	NULL	外观	-1
2.2	DOC2341	XXX	马六	外观	1
2.2	DOC2349	XXX	NULL	颜色	1
2.2	DOC2349	XXX	宝来的海豚灰	颜色	-1
2.2	DOC2349	XXX	NULL	颜色	1
2.2	DOC2349	XXX	马6的云层灰	颜色	-1
2.2	DOC2349	XXX	NULL	颜色	1
2.2	DOC2349	XXX	奥迪a6的海豚灰色	颜色	-1
2.2	DOC2395	XXX	雨燕	发动机	0
2.2	DOC2395	XXX	长安之星	发动机	0
2.2	DOC2402	XXX	致胜	性价比	1
2.2	DOC2408	XXX	5系、7系	真皮座椅	0
2.2	DOC2436	XXX	FD	底盘	1
2.2	DOC2436	XXX	伊兰特	底盘	-1
2.2	DOC2443	XXX	NULL	NULL	-1
2.2	DOC2443	XXX	菲亚特系列	NULL	1
2.2	DOC2456	XXX	现有车型	车高	0
2.2	DOC2456	XXX	NULL	车高	0
2.2	DOC2471	XXX	二手轿车	性能	0
2.2	DOC2471	XXX	新车	性能	0
2.2	DOC2476	XXX	马自达	NULL	-1
2.2	DOC2476	XXX	本田	NULL	1
2.2	DOC2476	XXX	马自达	耐用	-1
2.2	DOC2476	XXX	本田	耐用	1
2.2	DOC2476	XXX	马自达	NULL	-1
2.2	DOC2476	XXX	本田	NULL	1
2.2	DOC2476	XXX	马自达	耐用	-1
2.2	DOC2476	XXX	本田	耐用	1
2.2	DOC2486	XXX	NULL	座椅做工	-1
2.2	DOC2486	XXX	颐达	座椅做工	1
2.2	DOC2492	XXX	NULL	NULL	-1
2.2	DOC2492	XXX	A3	NULL	1
2.2	DOC2492	XXX	NULL	NULL	-1
2.2	DOC2492	XXX	荣威550	NULL	1
2.2	DOC2520	XXX	NULL	配件价格	-1
2.2	DOC2520	XXX	卡罗拉	配件价格	1
2.2	DOC2520	XXX	NULL	配件价格	0
2.2	DOC2520	XXX	皇冠	配件价格	0
2.2	DOC2525	XXX	奇瑞A1	配置	1
2.2	DOC2525	XXX	飞度	配置	-1
2.2	DOC2528	XXX	NULL	油耗	0
2.2	DOC2528	XXX	桑两千	油耗	0
2.2	DOC2564	XXX	98那款	内饰	-1
2.2	DOC2564	XXX	夏利车	内饰	1
2.2	DOC2574	XXX	捷达	实惠	1
2.2	DOC2574	XXX	NULL	实惠	-1
2.2	DOC2583	XXX	VQ引擎	技术参数	1
2.2	DOC2583	XXX	同排量的机器	技术参数	-1
2.2	DOC2593	XXX	M6	音效	-1
2.2	DOC2595	XXX	远舰	车身宽度	0
2.2	DOC2595	XXX	蒙迪欧、帕萨特	车身宽度	0
2.2	DOC2595	XXX	远舰	车身宽度	0
2.2	DOC2595	XXX	奥迪A6	车身宽度	0
2.2	DOC2607	XXX	瑞虎	NULL	-1
2.2	DOC2607	XXX	CRV	NULL	1
2.2	DOC2640	XXX	别的车	这几方面	-1
2.2	DOC2640	XXX	捷达	这几方面	1
2.2	DOC2645	XXX	Boo车型	NULL	1
2.2	DOC2645	XXX	A级车	NULL	-1
2.2	DOC2650	XXX	面包车	排量、座位、尺寸、装饰	0
2.2	DOC2650	XXX	微轿	排量、座位、尺寸、装饰	0
2.2	DOC2655	XXX	白色菱帅	尺寸	1
2.2	DOC2655	XXX	蓝鸟	尺寸	1
2.2	DOC2675	XXX	宝马	品牌地位	0
2.2	DOC2675	XXX	BENZ	品牌地位	0
2.2	DOC2676	XXX	POLO1.6L	动力性能	1
2.2	DOC2676	XXX	POLO1.4L	动力性能	-1
2.2	DOC2677	XXX	NULL	减震性	1
2.2	DOC2677	XXX	A6	减震性	-1
2.2	DOC2678	XXX	NULL	理念	0
2.2	DOC2678	XXX	几款法国车	理念	0
2.2	DOC2680	XXX	骏捷	性能	1
2.2	DOC2680	XXX	A3	性能	-1
2.2	DOC2680	XXX	F3	性能	1
2.2	DOC2680	XXX	A3	性能	-1
2.2	DOC2686	XXX	普通的液压助力转向	机构	1
2.2	DOC2686	XXX	电液伺服助力转向系统	机构	-1
2.2	DOC2686	XXX	普通的液压助力转向	成本	1
2.2	DOC2686	XXX	电液伺服助力转向系统	成本	-1
2.2	DOC2692	XXX	老款	进口件	1
2.2	DOC2692	XXX	新款	进口件	-1
2.2	DOC2703	XXX	这车	车重	-1
2.2	DOC2703	XXX	小面包	车重	1
2.2	DOC2713	XXX	旧款的捷达	NULL	1
2.2	DOC2713	XXX	新的款	NULL	-1
2.2	DOC2724	XXX	这	NULL	1
2.2	DOC2724	XXX	2.3、2.4排量的发动机	NULL	-1
2.2	DOC2730	XXX	阳光	内饰	1
2.2	DOC2730	XXX	花冠	内饰	-1
2.2	DOC2732	XXX	BORA1.6	性价比	1
2.2	DOC2732	XXX	BORA1.6	性价比	-1
2.2	DOC2734	XXX	赛欧	NULL	0
2.2	DOC2734	XXX	GOL	NULL	0
2.2	DOC2737	XXX	新飞度	内饰做工	1
2.2	DOC2737	XXX	A级车	内饰做工	1
2.2	DOC2739	XXX	ix35	发动机	0
2.2	DOC2739	XXX	索8	发动机	0
2.2	DOC2745	XXX	捷达	提速	1
2.2	DOC2745	XXX	爱丽舍	提速	-1
2.2	DOC2754	XXX	6	内饰	-1
2.2	DOC2754	XXX	广本	内饰	1
2.2	DOC2759	XXX	NULL	门子	1
2.2	DOC2759	XXX	一般车	门子	-1
2.2	DOC2780	XXX	凯跃	NULL	1
2.2	DOC2780	XXX	宝来	NULL	-1
2.2	DOC2785	XXX	NULL	内饰	-1
2.2	DOC2785	XXX	伊兰特	内饰	1
2.2	DOC2786	XXX	NULL	工艺	1
2.2	DOC2786	XXX	逍客	工艺	-1
2.2	DOC2808	XXX	c5	NULL	0
2.2	DOC2808	XXX	君威	NULL	0
2.2	DOC2810	XXX	这款车型	时速提升	-1
2.2	DOC2810	XXX	NULL	时速提升	1
2.2	DOC2810	XXX	这款车型	时速提升	-1
2.2	DOC2810	XXX	主打操控牌的运动车	时速提升	1
2.2	DOC2820	XXX	NULL	NULL	1
2.2	DOC2820	XXX	致胜	NULL	-1
2.2	DOC2828	XXX	宝来	四只脚	1
2.2	DOC2828	XXX	捷达	四只脚	-1
2.2	DOC2829	XXX	奥德赛	NULL	1
2.2	DOC2829	XXX	GL8	NULL	-1
2.2	DOC2837	XXX	NULL	门	-1
2.2	DOC2837	XXX	老Ａ４	门	1
2.2	DOC2837	XXX	NULL	门	-1
2.2	DOC2837	XXX	新Ａ４Ｌ	门	-1
2.2	DOC2860	XXX	索纳塔	外形	0
2.2	DOC2860	XXX	雅尊	外形	0
2.2	DOC2862	XXX	国外水平	管理消耗	-1
2.2	DOC2862	XXX	中国汽车工业	管理消耗	1
2.2	DOC2862	XXX	国外	汽车价格	-1
2.2	DOC2862	XXX	中国汽车工业	汽车价格	1
2.2	DOC2875	XXX	飞度1.5自动	价格	0
2.2	DOC2875	XXX	周末风1.316V手自一体	价格	0
2.2	DOC2926	XXX	它	NULL	0
2.2	DOC2926	XXX	206cc	NULL	0
2.2	DOC2929	XXX	福美来	配置	0
2.2	DOC2929	XXX	飞度	配置	0
2.2	DOC2929	XXX	福美来	价格	-1
2.2	DOC2929	XXX	飞度	价格	1
2.2	DOC2943	XXX	BMW5，BENZE	NULL	0
2.2	DOC2943	XXX	AUDIA6	NULL	0
2.2	DOC2943	XXX	帕萨特	NULL	0
2.2	DOC2943	XXX	BMW3，BENZC	NULL	0
2.2	DOC2943	XXX	奥迪A4	NULL	0
2.2	DOC2946	XXX	天籁	销量	1
2.2	DOC2946	XXX	雅阁	销量	-1
2.2	DOC2946	XXX	天籁	销量	1
2.2	DOC2946	XXX	凯美瑞	销量	-1
2.2	DOC2964	XXX	锐志最低配置	NULL	-1
2.2	DOC2964	XXX	日本MarkX	NULL	1
2.2	DOC2972	XXX	独立悬挂	安全性、舒适性	1
2.2	DOC2972	XXX	非独立悬挂系统	安全性、舒适性	-1
2.2	DOC2980	XXX	新飞度	车身结构的刚度	1
2.2	DOC2980	XXX	前代	车身结构的刚度	-1
2.2	DOC2995	XXX	A43.0	提速	1
2.2	DOC2995	XXX	BMW530	提速	-1
2.2	DOC2995	XXX	A43.0	外型	-1
2.2	DOC2995	XXX	宝来	外型	-1
2.2	DOC2997	XXX	Q7	音响	-1
2.2	DOC2997	XXX	奥德赛	音响	1
2.2	DOC3017	XXX	奥德赛	NULL	1
2.2	DOC3017	XXX	大捷龙	NULL	-1
2.2	DOC3025	XXX	尊贵	NULL	-1
2.2	DOC3025	XXX	尊雅	NULL	1
2.2	DOC3029	XXX	自动档307	百公里加速	-1
2.2	DOC3029	XXX	宝来1.8T	百公里加速	1
2.2	DOC3031	XXX	JD	维修费	-1
2.2	DOC3031	XXX	GIX	维修费	1
2.2	DOC3031	XXX	JD	急加速	1
2.2	DOC3031	XXX	GIX	急加速	-1
2.2	DOC3053	XXX	捷达	动力	1
2.2	DOC3053	XXX	爱丽舍	动力	-1
2.2	DOC3060	XXX	NULL	油耗	0
2.2	DOC3060	XXX	同排量的	油耗	0
2.2	DOC3061	XXX	这	综合性能	1
2.2	DOC3061	XXX	这	性价比	1
2.2	DOC3069	XXX	福美来2代	NULL	-1
2.2	DOC3069	XXX	一代	NULL	1
2.2	DOC3072	XXX	NULL	安全、操控性	0
2.2	DOC3072	XXX	富康、嘉年华	安全、操控性	0
2.2	DOC3079	XXX	丰田、本田	NULL	1
2.2	DOC3079	XXX	同档次的车	NULL	-1
2.2	DOC3086	XXX	明锐1.6高配	总体	0
2.2	DOC3086	XXX	卡罗拉特别天窗手动	总体	0
2.2	DOC3086	XXX	明锐1.6	动力	-1
2.2	DOC3086	XXX	卡罗拉特别天窗手动	动力	1
2.2	DOC3086	XXX	卡罗拉	后备箱盖	-1
2.2	DOC3086	XXX	明锐1.6	后备箱盖	1
2.2	DOC3093	XXX	这车	NULL	1
2.2	DOC3093	XXX	凯美瑞、雅阁	NULL	-1
2.2	DOC3111	XXX	腾翼	价格	-1
2.2	DOC3111	XXX	比亚迪f3	价格	1
2.2	DOC3119	XXX	你	NULL	0
2.2	DOC3119	XXX	富康	NULL	0
2.2	DOC3132	XXX	金属车身	强度	1
2.2	DOC3132	XXX	铆焊车身	强度	-1
2.2	DOC3135	XXX	ROYAL、BMW、LEXUS	起步	1
2.2	DOC3135	XXX	我	起步	-1
2.2	DOC3147	XXX	广本雅阁2.4	加速	1
2.2	DOC3147	XXX	宝来	加速	-1
2.2	DOC3147	XXX	德国汽车	制造技术	-1
2.2	DOC3147	XXX	日本	制造技术	1
2.2	DOC3151	XXX	捷达	空间	1
2.2	DOC3151	XXX	爱丽舍	空间	-1
2.2	DOC3151	XXX	捷达	后备箱	1
2.2	DOC3151	XXX	爱丽舍	后备箱	-1
2.2	DOC3153	XXX	QQ自动档	NULL	-1
2.2	DOC3153	XXX	手动档	NULL	1
2.2	DOC3156	XXX	日系车	怠速状态	1
2.2	DOC3156	XXX	NULL	怠速状态	-1
2.2	DOC3158	XXX	它	NULL	0
2.2	DOC3158	XXX	别克Lacrosse	NULL	0
2.2	DOC3159	XXX	美国的福特（Ford）	NULL	1
2.2	DOC3159	XXX	德国的竞争对手	NULL	-1
2.2	DOC3187	XXX	东方之子2.4三菱发动机、手自一体	NULL	1
2.2	DOC3187	XXX	同排量的车	NULL	-1
2.2	DOC3191	XXX	荣威550	性价比	1
2.2	DOC3197	XXX	逍客	NULL	1
2.2	DOC3197	XXX	CRV	NULL	-1
2.2	DOC3206	XXX	NULL	技术	-1
2.2	DOC3206	XXX	polo、福美来	技术	1
2.2	DOC3206	XXX	NULL	价格	-1
2.2	DOC3206	XXX	羚羊、派里奥	价格	1
2.2	DOC3206	XXX	NULL	排气量	-1
2.2	DOC3206	XXX	赛欧、高尔、奇瑞	排气量	1
2.2	DOC3206	XXX	NULL	越野性能	-1
2.2	DOC3206	XXX	jeep2500、塞弗、中兴	越野性能	1
2.2	DOC3207	XXX	卡罗拉1.8手动	油耗	1
2.2	DOC3207	XXX	1.6自动	油耗	-1
2.2	DOC3230	XXX	JD-Ci,富康三厢	车身	-1
2.2	DOC3230	XXX	普桑	车身	1
2.2	DOC3232	XXX	宝来车	NULL	-1
2.2	DOC3232	XXX	老帕	NULL	1
2.2	DOC3232	XXX	老帕	NULL	1
2.2	DOC3232	XXX	宝来	NULL	-1
2.2	DOC3232	XXX	老帕	NULL	1
2.2	DOC3232	XXX	别克君威	NULL	-1
2.2	DOC3261	XXX	NULL	NULL	1
2.2	DOC3263	XXX	新赛欧三箱	NULL	1
2.2	DOC3263	XXX	其它车	NULL	-1
2.2	DOC3264	XXX	一汽佳星-幸福使者	耗油量	1
2.2	DOC3264	XXX	QQ	耗油量	-1
2.2	DOC3266	XXX	伊兰特	外观	-1
2.2	DOC3266	XXX	凯越、赛拉图	外观	1
2.2	DOC3278	XXX	雅阁2.4导航版	内室作功	1
2.2	DOC3278	XXX	领驭2.8旗舰	内室作功	-1
2.2	DOC3278	XXX	2.4的雅阁	动力	-1
2.2	DOC3278	XXX	2.8的领驭	动力	1
2.2	DOC3279	XXX	新天籁	油漆	1
2.2	DOC3279	XXX	老天籁	油漆	-1
2.2	DOC3301	XXX	高尔	动力性、稳定性、安全性	1
2.2	DOC3301	XXX	雪佛兰赛欧	动力性、稳定性、安全性	-1
2.2	DOC3313	XXX	1.8	切档	-1
2.2	DOC3313	XXX	小科	切档	1
2.2	DOC3314	XXX	捷达	外观	-1
2.2	DOC3314	XXX	其它车	外观	1
2.2	DOC3318	XXX	同级别车	NULL	-1
2.2	DOC3318	XXX	本田车	NULL	1
2.2	DOC3322	XXX	法国车	外观	1
2.2	DOC3322	XXX	思域	外观	-1
2.2	DOC3322	XXX	法国车	外观	1
2.2	DOC3322	XXX	卡罗拉	外观	-1
2.2	DOC3324	XXX	NULL	车内噪音	1
2.2	DOC3324	XXX	旗云豪华款	车内噪音	-1
2.2	DOC3326	XXX	捷达	配置	-1
2.2	DOC3326	XXX	捷达	配置	-1
2.2	DOC3336	XXX	BMW双离合版本	NULL	1
2.2	DOC3336	XXX	6档变速箱的	NULL	-1
2.2	DOC3348	XXX	sunny	NULL	-1
2.2	DOC3348	XXX	骊威	NULL	1
2.2	DOC3352	XXX	凯越1.6手豪	NULL	1
2.2	DOC3352	XXX	悦动	NULL	-1
2.2	DOC3372	XXX	速腾1.8T	NULL	-1
2.2	DOC3372	XXX	迈腾1.8T手动技术型	NULL	1
2.2	DOC3379	XXX	日系车	整体操控匹配	-1
2.2	DOC3379	XXX	BWM	整体操控匹配	1
2.2	DOC3381	XXX	新君威	油耗	1
2.2	DOC3381	XXX	老君威	油耗	-1
2.2	DOC3385	XXX	2.0的途安	动力	1
2.2	DOC3385	XXX	1.6的POLO	动力	-1
2.2	DOC3385	XXX	途安	加速加档	1
2.2	DOC3385	XXX	POLO,PASSAT	加速加档	-1
2.2	DOC3390	XXX	这款车	发动机	0
2.2	DOC3390	XXX	同类	发动机	0
2.2	DOC3391	XXX	这车	钢板	-1
2.2	DOC3391	XXX	富康	钢板	1
2.2	DOC3395	XXX	B50	性价比	1
2.2	DOC3397	XXX	迈腾	技术	1
2.2	DOC3408	XXX	NULL	外表	-1
2.2	DOC3408	XXX	中华	外表	1
2.2	DOC3424	XXX	NULL	细节	0
2.2	DOC3424	XXX	日系车	细节	0
2.2	DOC3437	XXX	NULL	钥匙	-1
2.2	DOC3437	XXX	几万元车	钥匙	1
2.2	DOC3446	XXX	这样的轮胎	噪音	-1
2.2	DOC3446	XXX	更小窄的轮胎	噪音	1
2.2	DOC3477	XXX	NULL	底盘	1
2.2	DOC3477	XXX	雅力士	底盘	-1
2.2	DOC3487	XXX	斯柯达	NULL	-1
2.2	DOC3487	XXX	拉达	NULL	1
2.2	DOC3491	XXX	迈腾	保养	0
2.2	DOC3491	XXX	日本车	保养	0
2.2	DOC3498	XXX	他	动力	-1
2.2	DOC3498	XXX	广本,蓝鸟	动力	1
2.2	DOC3521	XXX	拉菲红	外形	1
2.2	DOC3521	XXX	迈锐宝	外形	1
2.2	DOC3553	XXX	圣达菲	制动	1
2.2	DOC3553	XXX	其他SUV	制动	-1
2.2	DOC3559	XXX	凯旋	轴距	1
2.2	DOC3559	XXX	速腾	轴距	-1
2.2	DOC3563	XXX	GX7	操控性能	1
2.2	DOC3563	XXX	福克斯	操控性能	-1
2.2	DOC3592	XXX	新款的318车型	动力	-1
2.2	DOC3592	XXX	老款的车型	动力	1
2.2	DOC3605	XXX	NULL	车重	1
2.2	DOC3605	XXX	一般轿车	车重	-1
2.2	DOC3606	XXX	NULL	舒适度	-1
2.2	DOC3606	XXX	5系	舒适度	1
2.2	DOC3624	XXX	NULL	油耗	0
2.2	DOC3624	XXX	普桑	油耗	0
2.2	DOC3629	XXX	进口的MB5	外形	1
2.2	DOC3629	XXX	国产的MB5	外形	-1
2.2	DOC3630	XXX	花冠	配置	1
2.2	DOC3630	XXX	其他同级别车型	配置	-1
2.2	DOC3632	XXX	君威2·0	外形	0
2.2	DOC3632	XXX	君威2·5	外形	0
2.2	DOC3632	XXX	君威2·0	内饰	0
2.2	DOC3632	XXX	君威2·5	内饰	0
2.2	DOC3632	XXX	君威2·0	配置	0
2.2	DOC3632	XXX	君威2·5	配置	0
2.2	DOC3638	XXX	马自达3	NULL	-1
2.2	DOC3638	XXX	速腾	NULL	1
2.2	DOC3647	XXX	NULL	舒服	1
2.2	DOC3647	XXX	夏利	舒服	-1
2.2	DOC3688	XXX	NULL	提速	1
2.2	DOC3688	XXX	同价位的车	提速	-1
2.2	DOC3696	XXX	奥迪	做工	-1
2.2	DOC3696	XXX	皇冠	做工	1
2.2	DOC3711	XXX	雅阁	动力输出	1
2.2	DOC3711	XXX	Passat领驭	动力输出	-1
2.2	DOC3738	XXX	C5	车内空间	-1
2.2	DOC3738	XXX	迈腾	车内空间	1
2.2	DOC3750	XXX	AUDI的RS车系	弯道	-1
2.2	DOC3750	XXX	BMW的M系列	弯道	1
2.2	DOC3779	XXX	捷达车	发动机	1
2.2	DOC3779	XXX	我的车	发动机	-1
2.2	DOC3794	XXX	NULL	黑色工程塑料	-1
2.2	DOC3794	XXX	普桑	黑色工程塑料	-1
2.2	DOC3795	XXX	A4L2.0T舒适	外观	1
2.2	DOC3795	XXX	宝马320豪华	外观	-1
2.2	DOC3795	XXX	A4L2.0T舒适	空间	1
2.2	DOC3795	XXX	宝马320豪华	空间	-1
2.2	DOC3795	XXX	A4L2.0T舒适	做工	1
2.2	DOC3795	XXX	宝马320豪华	做工	-1
2.2	DOC3812	XXX	QQ	内部空间	1
2.2	DOC3812	XXX	夏利	内部空间	-1
2.2	DOC3813	XXX	NULL	腿部空间	-1
2.2	DOC3813	XXX	5系li	腿部空间	1
2.2	DOC3813	XXX	NULL	腿部空间	-1
2.2	DOC3813	XXX	A4L	腿部空间	1
2.2	DOC3813	XXX	NULL	动力传输，平顺性，油耗	1
2.2	DOC3813	XXX	现款325	动力传输，平顺性，油耗	-1
2.2	DOC3832	XXX	1.6的低配般的小高高	价	-1
2.2	DOC3832	XXX	凯越的2.0的顶级配置	价	1
2.2	DOC3841	XXX	NULL	外形	-1
2.2	DOC3841	XXX	法拉利	外形	1
2.2	DOC3844	XXX	它	动力	1
2.2	DOC3844	XXX	1.6	动力	-1
2.2	DOC3849	XXX	独立悬挂	成本	-1
2.2	DOC3849	XXX	非独立悬挂系统	成本	1
2.2	DOC3855	XXX	凯美瑞	油漆	-1
2.2	DOC3855	XXX	NULL	油漆	1
2.2	DOC3886	XXX	NULL	速度	1
2.2	DOC3886	XXX	同档次	速度	-1
2.2	DOC3886	XXX	NULL	速度	1
2.2	DOC3886	XXX	一、二档次的车	速度	-1
2.2	DOC3886	XXX	NULL	提速	-1
2.2	DOC3886	XXX	宝马	提速	1
2.2	DOC3886	XXX	NULL	提速	-1
2.2	DOC3886	XXX	1.8T	提速	1
2.2	DOC3889	XXX	锐志REIZ	油耗	-1
2.2	DOC3889	XXX	美国车	油耗	1
2.2	DOC3891	XXX	自动变速箱	油耗	-1
2.2	DOC3891	XXX	手动	油耗	1
2.2	DOC3899	XXX	水平对置发动机	运转	1
2.2	DOC3899	XXX	直列	运转	-1
2.2	DOC3899	XXX	水平对置发动机	运转	1
2.2	DOC3899	XXX	V型发动机	运转	-1
2.2	DOC3908	XXX	福克斯2.0手动档	配置	0
2.2	DOC3908	XXX	自动档	配置	0
2.2	DOC3912	XXX	NULL	抖动	1
2.2	DOC3912	XXX	16v	抖动	-1
2.2	DOC3921	XXX	NULL	动力	-1
2.2	DOC3948	XXX	菱帅	手/自一体变速箱	1
2.2	DOC3962	XXX	RZ	NULL	0
2.2	DOC3962	XXX	大多数日车	NULL	0
2.2	DOC3962	XXX	RZ	油门响应	1
2.2	DOC3962	XXX	新MAZDA6	油门响应	-1
2.2	DOC3962	XXX	RZ	刹车	1
2.2	DOC3962	XXX	PST等VW车型	刹车	-1
2.2	DOC3969	XXX	CTS	NULL	-1
2.2	DOC3969	XXX	BMW	NULL	1
2.2	DOC3999	XXX	捷达	高度	1
2.2	DOC3999	XXX	桑塔纳	高度	-1
2.2	DOC4013	XXX	中别克	内饰	0
2.2	DOC4013	XXX	新款Nubira	内饰	0
2.2	DOC4014	XXX	福克斯	急加速的推背感	-1
2.2	DOC4014	XXX	宝来1.8T	急加速的推背感	1
2.2	DOC4018	XXX	新飞度	底盘	0
2.2	DOC4018	XXX	老飞度	底盘	0
2.2	DOC4043	XXX	奥迪	内饰	-1
2.2	DOC4043	XXX	皇冠	内饰	1
2.2	DOC4060	XXX	新奥迪3.0	车身	1
2.2	DOC4060	XXX	新奥迪3.0	重量	1
2.2	DOC4060	XXX	宝马5系3.0	重量	-1
2.2	DOC4060	XXX	宝马5系3.0	车身	-1
2.2	DOC4060	XXX	新奥迪3.0	动力	-1
2.2	DOC4060	XXX	宝马5系3.0	动力	1
2.2	DOC4060	XXX	新奥迪3.0	加速	-1
2.2	DOC4060	XXX	宝马5系3.0	加速	1
2.2	DOC4060	XXX	新奥迪3.0	技术	1
2.2	DOC4060	XXX	宝马5系3.0	技术	-1
2.2	DOC4060	XXX	新奥迪3.0	装备	1
2.2	DOC4060	XXX	宝马5系3.0	装备	-1
2.2	DOC4063	XXX	宝来1.6L	功率	-1
2.2	DOC4063	XXX	NULL	功率	1
2.2	DOC4080	XXX	NULL	NULL	1
2.2	DOC4080	XXX	千里马	NULL	-1
2.2	DOC4081	XXX	CVT变速器	成本	1
2.2	DOC4081	XXX	传统变速器	成本	-1
2.2	DOC4083	XXX	思域	离地距离	1
2.2	DOC4083	XXX	宝来	离地距离	-1
2.2	DOC4086	XXX	NULL	最大扭矩	-1
2.2	DOC4086	XXX	索纳塔	最大扭矩	1
2.2	DOC4088	XXX	夏利7131	性价比	1
2.2	DOC4088	XXX	8A	发动机	1
2.2	DOC4088	XXX	POLO	性价比	-1
2.2	DOC4138	XXX	GIX	电动按钮	0
2.2	DOC4138	XXX	宝来	电动按钮	0
2.2	DOC4139	XXX	50	NULL	1
2.2	DOC4139	XXX	君越	NULL	-1
2.2	DOC4146	XXX	远舰	发动机	0
2.2	DOC4146	XXX	索纳塔	发动机	0
2.2	DOC4171	XXX	新宝来	NULL	1
2.2	DOC4171	XXX	同价位的车	NULL	-1
2.2	DOC4171	XXX	新宝来	性价比	1
2.2	DOC4171	XXX	同价位的车	性价比	-1
2.2	DOC4175	XXX	NULL	空间	-1
2.2	DOC4175	XXX	悦动	空间	1
2.2	DOC4178	XXX	NULL	NULL	1
2.2	DOC4178	XXX	FKS	NULL	-1
2.2	DOC4191	XXX	NULL	外形	1
2.2	DOC4196	XXX	马6	外型设计	1
2.2	DOC4196	XXX	欧洲车	外型设计	1
2.2	DOC4196	XXX	马6	底盘技术	1
2.2	DOC4196	XXX	欧洲车	底盘技术	1
2.2	DOC4204	XXX	新宝来	变速箱	0
2.2	DOC4204	XXX	迈腾、速腾	变速箱	0
2.2	DOC4211	XXX	NULL	价格	1
2.2	DOC4211	XXX	宝马	价格	-1
2.2	DOC4222	XXX	虎子	NULL	-1
2.2	DOC4222	XXX	它	NULL	1
2.2	DOC4222	XXX	虎子	NULL	-1
2.2	DOC4222	XXX	它	NULL	1
2.2	DOC4223	XXX	捷达	销量	1
2.2	DOC4223	XXX	其它品牌	销量	-1
2.2	DOC4258	XXX	君越	NULL	1
2.2	DOC4264	XXX	捷达	外观	1
2.2	DOC4264	XXX	爱里社	外观	-1
2.2	DOC4265	XXX	明仕	加速	-1
2.2	DOC4265	XXX	小羊	加速	1
2.2	DOC4298	XXX	逍客	空间	0
2.2	DOC4298	XXX	RV4	空间	0
2.2	DOC4311	XXX	花冠	发动机	1
2.2	DOC4315	XXX	M6	NULL	0
2.2	DOC4315	XXX	其他车	NULL	0
2.2	DOC4366	XXX	NULL	性价比	1
2.2	DOC4379	XXX	NULL	后排空间	-1
2.2	DOC4379	XXX	YG,PST	后排空间	1
2.2	DOC4382	XXX	NULL	刹车	-1
2.2	DOC4382	XXX	领驭1.8t	刹车	1
2.2	DOC4382	XXX	NULL	刹车	0
2.2	DOC4382	XXX	途安	刹车	0
2.2	DOC4407	XXX	柴电混合动力车	NULL	1
2.2	DOC4407	XXX	丰田普锐斯	NULL	-1
2.2	DOC4419	XXX	ELT	维修费用	1
2.2	DOC4419	XXX	飞度	维修费用	-1
2.2	DOC4419	XXX	ELT	油耗	-1
2.2	DOC4419	XXX	菱帅	油耗	1
2.2	DOC4424	XXX	NULL	中控台	1
2.2	DOC4424	XXX	格蓝迪	中控台	1
2.2	DOC4434	XXX	它	空间	1
2.2	DOC4434	XXX	凯越,伊兰特	空间	-1
2.2	DOC4437	XXX	NULL	引擎	1
2.2	DOC4437	XXX	奔驰	引擎	-1
2.2	DOC4438	XXX	宝马3系	档次	-1
2.2	DOC4438	XXX	奥迪A4	档次	1
2.2	DOC4439	XXX	新款的时代骄子	内饰	1
2.2	DOC4439	XXX	jetta	内饰	-1
2.2	DOC4441	XXX	悦动	品牌	1
2.2	DOC4441	XXX	福瑞迪	品牌	-1
2.2	DOC4451	XXX	宝马Mini、克莱斯勒漫步者、道奇彩虹Neon、力帆520	发动机产品质量	0
2.2	DOC4462	XXX	FOCUS2.0	装配工艺	-1
2.2	DOC4462	XXX	MONDEO	装配工艺	1
2.2	DOC4474	XXX	奥迪A6	市场占有率	1
2.2	DOC4479	XXX	花冠	NULL	-1
2.2	DOC4479	XXX	MDO	NULL	1
2.2	DOC4503	XXX	奥迪	NULL	1
2.2	DOC4506	XXX	速腾2.0	提速	1
2.2	DOC4506	XXX	马六2.3	提速	-1
2.2	DOC4509	XXX	NULL	NULL	-1
2.2	DOC4509	XXX	凯越,阳光	NULL	1
2.2	DOC4509	XXX	NULL	NULL	1
2.2	DOC4509	XXX	凯越,阳光	NULL	-1
2.2	DOC4524	XXX	台湾2厢手动飞度	NULL	0
2.2	DOC4524	XXX	内地	NULL	0
2.2	DOC4537	XXX	瑞风	前脸	1
2.2	DOC4537	XXX	风行	前脸	-1
2.2	DOC4543	XXX	六缸3.0	安静	1
2.2	DOC4543	XXX	1.8T	安静	-1
2.2	DOC4543	XXX	六缸3.0	动力,加速,平稳	1
2.2	DOC4543	XXX	1.8T	动力,加速,平稳	-1
2.2	DOC4545	XXX	捷达	NULL	1
2.2	DOC4545	XXX	富康	NULL	-1
